2025-12-21 02:43:43,431 - thread-128966404867776.prometheus_context_collector - INFO - Starting context retrieval for query: 
Issue: Pytest 6: Dynamically adding xfail marker in test no longer ignores failure

Description: <!--
Thanks for submitting an issue!

Here's a quick checklist for what to provide:
-->

## Description

With pytest 5.x, we can dynamically add an xfail to a test `request` object using `request.node.add_marker(mark)` (see example below). In 5.x this treated the failing test like a a test marked statically with an `xfail`. With 6.0.0rc0 it raises. 

## Versions

<details>

```
$ pip list
Package                       Version                         Location                                                      
----------------------------- ------------------------------- --------------------------------------------------------------
a                             1.0                             
294. 
295.     if (
296.         item._store.get(skipped_by_mark_key, True)
297.         and rep.skipped
298.         and type(rep.longrepr) is tuple
299.     ):
300.         # skipped by mark.skipif; change the location of the failure
301.         # to point to the item definition, otherwise it will display
302.         # the location of where the skip exception was raised within pytest
303.         _, _, reason = rep.longrepr
304.         filename, line = item.reportinfo()[:2]
305.         assert line is not None
306.         rep.longrepr = str(filename), line + 1, reason
307. 
308. 
309. def pytest_report_teststatus(report: BaseReport) -> Optional[Tuple[str, str, str]]:
310.     if hasattr(report, "wasxfail"):
311.         if report.skipped:
312.             return "xfailed", "x", "XFAIL"
313.         elif report.passed:
314.             return "xpassed", "X", "XPASS"
315.     return None

--- END AGGREGATED CONTEXT ---

Analyze if the current context is sufficient to complete the user query by considering:
1. Do you understand the full scope and requirements of the user query?
2. Do you have access to all relevant code that needs to be examined or modified?
3. Are all critical dependencies and their interfaces visible?
4. Is there enough context about the system architecture and design patterns?
5. Do you have access to relevant documentation or tests if needed?

Only request additional context if essential information is missing. Ensure you're not requesting:
- Information already provided in previous queries
- Nice-to-have but non-essential details
- Implementation details that aren't relevant to the current task

If additional context is needed:
- Be specific about what you're looking for
- Consider both code and documentation that might be relevant

IMPORTANT:
- Try to avoid asking for the SAME or very similar information as previous queries, because these queries have already been asked and satisfied.

2025-12-21 02:46:04,196 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_refine_node - DEBUG - reasoning="The user's issue is about dynamically adding an `xfail` marker to a test item. The current context provides `_pytest/skipping.py`, which handles the logic for `xfail` markers. However, the mechanism of adding and iterating markers is implemented in `_pytest/nodes.py` within the `Node` and `Item` classes. To understand why the dynamically added marker is not being recognized, I need to examine the implementation of `add_marker` and `iter_markers` in `_pytest/nodes.py`." query='Please provide the full content of `src/_pytest/nodes.py`.' extra_requirements='' purpose="This file is needed to understand how markers are added to and retrieved from test items, which is central to debugging the user's issue."
2025-12-21 02:46:04,197 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.memory_retrieval_node - INFO - Retrieving contexts from memory for query: Please provide the full content of `src/_pytest/nodes.py`.
2025-12-21 02:46:04,197 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.memory_retrieval_node - ERROR - Failed to retrieve from memory: Athena memory client is not configured.
2025-12-21 02:46:04,198 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.reset_messages_node - DEBUG - Resetting context_provider_messages in state.
2025-12-21 02:46:04,198 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.add_context_refined_query_message_node - INFO - Creating context provider message from refined query
2025-12-21 02:46:04,199 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.add_context_refined_query_message_node - DEBUG - Query message: Essential query: Please provide the full content of `src/_pytest/nodes.py`.
Purpose: This file is needed to understand how markers are added to and retrieved from test items, which is central to debugging the user's issue.
2025-12-21 02:46:06,805 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_provider_node - DEBUG - content='' additional_kwargs={'function_call': {'name': 'read_file_with_knowledge_graph_data', 'arguments': '{"relative_path": "src/_pytest/nodes.py"}'}, '__gemini_function_call_thought_signatures__': {'cd2f9b50-7fc9-4dc5-88a0-0192fb2faf4d': 'CtEFAY89a1+5Yxq3J791bPQsr22Zf71kKBEfsDFewWfmpH1fhLvbGtuoCr/gxqLRIAin2udWKPJfVpY0Xtn43sD6gfXWtDbsA9Q4HXj/Zy3xUfTVe57LGvD/MugcEUmiOe1FdwYgMCvhnXFdn+efqZ3Af10m7vgmT8kZqdDVuGK3Mk/rmC/JAnVLLLwrFGGJRKqJpHEBNYMkTq/LM3WEAdeFQ4xJZlCbKoL9hhi1zw13lyZSflabwoN5JBKKo2nKlYo5I/iCQFLG774aVWrEkBFQIghhI9mkPZjC974AdMu/ggVP8sF8rtN8s26AJKx2cBXJypaxGrFcN2Df5HtjbvvJOOHOlpdcyrAaPLQmPWikG1twmUuLCrNv5P6+95Qd1zaNX5L73cGBSRv2/oVSVQy12asY31iA+mGp4ERH6TDq+0JgOcTBCuXJ/ftzAeypx8mjX4mvalYzsX8QdGTfH2yrzZHzVGsKQs6Jp1uBJ6pyBlUjbYnZ5bscY0kEtvQqf3i5DpDlRvMizSGnMQAwKUEM/gD46aaDXHkHt7sgmIttA7t2yb83Vh3X29DYWTG62EhMKnXtX6arI/5D+W4UMooNQupnXzrt68uh85C4baNVRLUl3y/M38zOW44dVlrTH7kIhrs7EBJ68wiqAIC7fqlOKm9iUmi6fTnATNJQqZdxzr5IXz66zgHLfIGniOogWfSo137zPAKlU6BIt6OuFWx1AV/S45QY+R9h/5ezpL7Q0mzlefhWeM9qJJn1EqspbVZrlPABxNy2Mtmt87d2aXKjjZgtwYRUjf6gldRlv9cpnJ3WRVxSyM4jjruwTNL+GqPo14wq2FDn7xPgJv9bbWq8uL50Ui3hz/XvdrHjp1U8dGPmQOHoUCuCYcCc0odF//y/cMVzcb+JubTfhOMlAWTj5EvVyhg2ONOsESYGHXNoH3WNoCzN1WYvLI13rzpDGYPAKw=='}} response_metadata={'is_blocked': False, 'safety_ratings': [], 'usage_metadata': {'prompt_token_count': 2046, 'candidates_token_count': 21, 'total_token_count': 2243, 'prompt_tokens_details': [{'modality': 1, 'token_count': 2046}], 'candidates_tokens_details': [{'modality': 1, 'token_count': 21}], 'thoughts_token_count': 176, 'cached_content_token_count': 0, 'cache_tokens_details': []}, 'finish_reason': 'STOP', 'avg_logprobs': -0.3405600048246838, 'model_name': 'gemini-2.5-pro'} id='run--f18e7c55-51dd-4c01-b11d-50647606ff4e-0' tool_calls=[{'name': 'read_file_with_knowledge_graph_data', 'args': {'relative_path': 'src/_pytest/nodes.py'}, 'id': 'cd2f9b50-7fc9-4dc5-88a0-0192fb2faf4d', 'type': 'tool_call'}] usage_metadata={'input_tokens': 2046, 'output_tokens': 21, 'total_tokens': 2243, 'input_token_details': {'cache_read': 0}, 'output_token_details': {'reasoning': 176}}
2025-12-21 02:46:09,360 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_provider_node - DEBUG - content='' additional_kwargs={'function_call': {'name': 'read_code_with_relative_path', 'arguments': '{"start_line": 501.0, "relative_path": "src/_pytest/nodes.py", "end_line": 1000.0}'}, '__gemini_function_call_thought_signatures__': {'da5c2e34-d807-4aca-9db8-1bb01555c0b8': 'CuEDAY89a181Pz7rv73H1b5Z4d6ptoCOLlWwfMjNJO5JwsaCFfh7f3P9g4hwTikcrDEF8G6GqFnSADACd2boJsJ/SCF64lc+Jjkjof2W9lFaMCWPPIqX/NaTQrxP4WgX2fkst/kLAnxMaWfEXj7IRLVffurNsh03FC2lN7gAephs3aDq7OCmttaThcUnNKfnZ2zV4L+DYAKcBszYkxk2GkiBIQC8oMfXVgqg/2OATpZbHJ716fDKt7eBt5PUWxTNkMb2bX8SstMkplZF8lDaQ4V9vmov4Olr1TjVBbYmRGCWr5eI8qg3wVbrZTcUaY31q7tbFSPXfKW+w0IMGeYyk8cwzxVjPa4Ik2kD6tFyi17TtZyZ71pwLxejWoyrVs0dHTqUGKgiW9EwsklNRsHFImuCxWrPK9c+rgvyWeOo0K7QVFQRVLGfysoblKDU1/PyXYiWDIEnOiXxEZa0drbCslyTLGXQtU4uFSgGVGyHw16PtGU0rZVuF6yWQ+gjd5kSciOOwnk4YT2sIixI+19GnyoFiAUsPCI51VYjAGnsCAQkLDA9B4eHkfx8xFufUtqNc1idAZGwt2H6kWo9q/xgNY24uIf/oTxIT8UlWsUt/Uv3m+i1/LLtKew3xFTF9Id2XwU9jw=='}} response_metadata={'is_blocked': False, 'safety_ratings': [], 'usage_metadata': {'prompt_token_count': 8907, 'candidates_token_count': 27, 'total_token_count': 9066, 'cached_content_token_count': 1830, 'prompt_tokens_details': [{'modality': 1, 'token_count': 9083}], 'cache_tokens_details': [{'modality': 1, 'token_count': 1830}], 'candidates_tokens_details': [{'modality': 1, 'token_count': 27}], 'thoughts_token_count': 132}, 'finish_reason': 'STOP', 'avg_logprobs': -0.6311046459056713, 'model_name': 'gemini-2.5-pro'} id='run--890bbcca-ec5d-4df0-a936-5ea582b6b58f-0' tool_calls=[{'name': 'read_code_with_relative_path', 'args': {'start_line': 501.0, 'relative_path': 'src/_pytest/nodes.py', 'end_line': 1000.0}, 'id': 'da5c2e34-d807-4aca-9db8-1bb01555c0b8', 'type': 'tool_call'}] usage_metadata={'input_tokens': 8907, 'output_tokens': 27, 'total_tokens': 9066, 'input_token_details': {'cache_read': 1830}, 'output_token_details': {'reasoning': 132}}
2025-12-21 02:46:13,669 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_provider_node - DEBUG - content="I have retrieved the full content of `src/_pytest/nodes.py` as requested. The file's contents were obtained by reading the file in chunks and have been fully presented. This should provide the necessary context for understanding how markers are handled in pytest." additional_kwargs={} response_metadata={'is_blocked': False, 'safety_ratings': [], 'usage_metadata': {'prompt_token_count': 11388, 'candidates_token_count': 53, 'total_token_count': 11721, 'cached_content_token_count': 7437, 'prompt_tokens_details': [{'modality': 1, 'token_count': 11696}], 'cache_tokens_details': [{'modality': 1, 'token_count': 7437}], 'candidates_tokens_details': [{'modality': 1, 'token_count': 53}], 'thoughts_token_count': 280}, 'finish_reason': 'STOP', 'avg_logprobs': -0.5977990852212006, 'model_name': 'gemini-2.5-pro'} id='run--e5fb6e5e-1030-4058-b6ef-d63fe6477aa6-0' usage_metadata={'input_tokens': 11388, 'output_tokens': 53, 'total_tokens': 11721, 'input_token_details': {'cache_read': 7437}, 'output_token_details': {'reasoning': 280}}
2025-12-21 02:46:13,671 - thread-128966404867776.prometheus_context_collector.lang_graph.nodes.context_extraction_node - DEBUG - This is the query you need to answer:

--- BEGIN QUERY ---
Please provide the full content of `src/_pytest/nodes.py`.
--- END QUERY ---



--- BEGIN PURPOSE ---
This file is needed to understand how markers are added to and retrieved from test items, which is central to debugging the user's issue.
--- END PURPOSE ---

The context or file content that you have seen so far (Some of the context may be IRRELEVANT to the query!!!):

--- BEGIN CONTEXT ---
File: src/_pytest/nodes.py
Line number range: 1 - 500
Content:
1. import os
2. import warnings
3. from functools import lru_cache
4. from typing import Callable
5. from typing import Dict
6. from typing import Iterable
7. from typing import Iterator
8. from typing import List
9. from typing import Optional
10. from typing import Sequence
11. from typing import Set
12. from typing import Tuple
13. from typing import TypeVar
14. from typing import Union
15. 
16. import py
17. 
18. import _pytest._code
19. from _pytest._code import getfslineno
20. from _pytest._code.code import ExceptionInfo
21. from _pytest._code.code import TerminalRepr
22. from _pytest.compat import cached_property
23. from _pytest.compat import overload
24. from _pytest.compat import TYPE_CHECKING
25. from _pytest.config import Config
26. from _pytest.config import ConftestImportFailure
27. from _pytest.config import PytestPluginManager
28. from _pytest.deprecated import NODE_USE_FROM_PARENT
29. from _pytest.fixtures import FixtureDef
30. from _pytest.fixtures import FixtureLookupError
31. from _pytest.mark.structures import Mark
32. from _pytest.mark.structures import MarkDecorator
33. from _pytest.mark.structures import NodeKeywords
34. from _pytest.outcomes import fail
35. from _pytest.pathlib import Path
36. from _pytest.store import Store
37. 
38. if TYPE_CHECKING:
39.     from typing import Type
40. 
41.     # Imported here due to circular import.
42.     from _pytest.main import Session
43.     from _pytest.warning_types import PytestWarning
44.     from _pytest._code.code import _TracebackStyle
45. 
46. 
47. SEP = "/"
48. 
49. tracebackcutdir = py.path.local(_pytest.__file__).dirpath()
50. 
51. 
52. @lru_cache(maxsize=None)
53. def _splitnode(nodeid: str) -> Tuple[str, ...]:
54.     """Split a nodeid into constituent 'parts'.
55. 
56.     Node IDs are strings, and can be things like:
57.         ''
58.         'testing/code'
59.         'testing/code/test_excinfo.py'
60.         'testing/code/test_excinfo.py::TestFormattedExcinfo'
61. 
62.     Return values are lists e.g.
63.         []
64.         ['testing', 'code']
65.         ['testing', 'code', 'test_excinfo.py']
66.         ['testing', 'code', 'test_excinfo.py', 'TestFormattedExcinfo']
67.     """
68.     if nodeid == "":
69.         # If there is no root node at all, return an empty list so the caller's logic can remain sane
70.         return ()
71.     parts = nodeid.split(SEP)
72.     # Replace single last element 'test_foo.py::Bar' with multiple elements 'test_foo.py', 'Bar'
73.     parts[-1:] = parts[-1].split("::")
74.     # Convert parts into a tuple to avoid possible errors with caching of a mutable type
75.     return tuple(parts)
76. 
77. 
78. def ischildnode(baseid: str, nodeid: str) -> bool:
79.     """Return True if the nodeid is a child node of the baseid.
80. 
81.     E.g. 'foo/bar::Baz' is a child of 'foo', 'foo/bar' and 'foo/bar::Baz', but not of 'foo/blorp'
82.     """
83.     base_parts = _splitnode(baseid)
84.     node_parts = _splitnode(nodeid)
85.     if len(node_parts) < len(base_parts):
86.         return False
87.     return node_parts[: len(base_parts)] == base_parts
88. 
89. 
90. _NodeType = TypeVar("_NodeType", bound="Node")
91. 
92. 
93. class NodeMeta(type):
94.     def __call__(self, *k, **kw):
95.         warnings.warn(NODE_USE_FROM_PARENT.format(name=self.__name__), stacklevel=2)
96.         return super().__call__(*k, **kw)
97. 
98.     def _create(self, *k, **kw):
99.         return super().__call__(*k, **kw)
100. 
101. 
102. class Node(metaclass=NodeMeta):
103.     """ base class for Collector and Item the test collection tree.
104.     Collector subclasses have children, Items are terminal nodes."""
105. 
106.     # Use __slots__ to make attribute access faster.
107.     # Note that __dict__ is still available.
108.     __slots__ = (
109.         "name",
110.         "parent",
111.         "config",
112.         "session",
113.         "fspath",
114.         "_nodeid",
115.         "_store",
116.         "__dict__",
117.     )
118. 
119.     def __init__(
120.         self,
121.         name: str,
122.         parent: "Optional[Node]" = None,
123.         config: Optional[Config] = None,
124.         session: "Optional[Session]" = None,
125.         fspath: Optional[py.path.local] = None,
126.         nodeid: Optional[str] = None,
127.     ) -> None:
128.         #: a unique name within the scope of the parent node
129.         self.name = name
130. 
131.         #: the parent collector node.
132.         self.parent = parent
133. 
134.         #: the pytest config object
135.         if config:
136.             self.config = config  # type: Config
137.         else:
138.             if not parent:
139.                 raise TypeError("config or parent must be provided")
140.             self.config = parent.config
141. 
142.         #: the session this node is part of
143.         if session:
144.             self.session = session
145.         else:
146.             if not parent:
147.                 raise TypeError("session or parent must be provided")
148.             self.session = parent.session
149. 
150.         #: filesystem path where this node was collected from (can be None)
151.         self.fspath = fspath or getattr(parent, "fspath", None)
152. 
153.         #: keywords/markers collected from all scopes
154.         self.keywords = NodeKeywords(self)
155. 
156.         #: the marker objects belonging to this node
157.         self.own_markers = []  # type: List[Mark]
158. 
159.         #: allow adding of extra keywords to use for matching
160.         self.extra_keyword_matches = set()  # type: Set[str]
161. 
162.         # used for storing artificial fixturedefs for direct parametrization
163.         self._name2pseudofixturedef = {}  # type: Dict[str, FixtureDef]
164. 
165.         if nodeid is not None:
166.             assert "::()" not in nodeid
167.             self._nodeid = nodeid
168.         else:
169.             if not self.parent:
170.                 raise TypeError("nodeid or parent must be provided")
171.             self._nodeid = self.parent.nodeid
172.             if self.name != "()":
173.                 self._nodeid += "::" + self.name
174. 
175.         # A place where plugins can store information on the node for their
176.         # own use. Currently only intended for internal plugins.
177.         self._store = Store()
178. 
179.     @classmethod
180.     def from_parent(cls, parent: "Node", **kw):
181.         """
182.         Public Constructor for Nodes
183. 
184.         This indirection got introduced in order to enable removing
185.         the fragile logic from the node constructors.
186. 
187.         Subclasses can use ``super().from_parent(...)`` when overriding the construction
188. 
189.         :param parent: the parent node of this test Node
190.         """
191.         if "config" in kw:
192.             raise TypeError("config is not a valid argument for from_parent")
193.         if "session" in kw:
194.             raise TypeError("session is not a valid argument for from_parent")
195.         return cls._create(parent=parent, **kw)
196. 
197.     @property
198.     def ihook(self):
199.         """ fspath sensitive hook proxy used to call pytest hooks"""
200.         return self.session.gethookproxy(self.fspath)
201. 
202.     def __repr__(self) -> str:
203.         return "<{} {}>".format(self.__class__.__name__, getattr(self, "name", None))
204. 
205.     def warn(self, warning: "PytestWarning") -> None:
206.         """Issue a warning for this item.
207. 
208.         Warnings will be displayed after the test session, unless explicitly suppressed
209. 
210.         :param Warning warning: the warning instance to issue. Must be a subclass of PytestWarning.
211. 
212.         :raise ValueError: if ``warning`` instance is not a subclass of PytestWarning.
213. 
214.         Example usage:
215. 
216.         .. code-block:: python
217. 
218.             node.warn(PytestWarning("some message"))
219. 
220.         """
221.         from _pytest.warning_types import PytestWarning
222. 
223.         if not isinstance(warning, PytestWarning):
224.             raise ValueError(
225.                 "warning must be an instance of PytestWarning or subclass, got {!r}".format(
226.                     warning
227.                 )
228.             )
229.         path, lineno = get_fslocation_from_item(self)
230.         assert lineno is not None
231.         warnings.warn_explicit(
232.             warning, category=None, filename=str(path), lineno=lineno + 1,
233.         )
234. 
235.     # methods for ordering nodes
236.     @property
237.     def nodeid(self) -> str:
238.         """ a ::-separated string denoting its collection tree address. """
239.         return self._nodeid
240. 
241.     def __hash__(self) -> int:
242.         return hash(self._nodeid)
243. 
244.     def setup(self) -> None:
245.         pass
246. 
247.     def teardown(self) -> None:
248.         pass
249. 
250.     def listchain(self) -> List["Node"]:
251.         """ return list of all parent collectors up to self,
252.             starting from root of collection tree. """
253.         chain = []
254.         item = self  # type: Optional[Node]
255.         while item is not None:
256.             chain.append(item)
257.             item = item.parent
258.         chain.reverse()
259.         return chain
260. 
261.     def add_marker(
262.         self, marker: Union[str, MarkDecorator], append: bool = True
263.     ) -> None:
264.         """dynamically add a marker object to the node.
265. 
266.         :type marker: ``str`` or ``pytest.mark.*``  object
267.         :param marker:
268.             ``append=True`` whether to append the marker,
269.             if ``False`` insert at position ``0``.
270.         """
271.         from _pytest.mark import MARK_GEN
272. 
273.         if isinstance(marker, MarkDecorator):
274.             marker_ = marker
275.         elif isinstance(marker, str):
276.             marker_ = getattr(MARK_GEN, marker)
277.         else:
278.             raise ValueError("is not a string or pytest.mark.* Marker")
279.         self.keywords[marker_.name] = marker_
280.         if append:
281.             self.own_markers.append(marker_.mark)
282.         else:
283.             self.own_markers.insert(0, marker_.mark)
284. 
285.     def iter_markers(self, name: Optional[str] = None) -> Iterator[Mark]:
286.         """
287.         :param name: if given, filter the results by the name attribute
288. 
289.         iterate over all markers of the node
290.         """
291.         return (x[1] for x in self.iter_markers_with_node(name=name))
292. 
293.     def iter_markers_with_node(
294.         self, name: Optional[str] = None
295.     ) -> Iterator[Tuple["Node", Mark]]:
296.         """
297.         :param name: if given, filter the results by the name attribute
298. 
299.         iterate over all markers of the node
300.         returns sequence of tuples (node, mark)
301.         """
302.         for node in reversed(self.listchain()):
303.             for mark in node.own_markers:
304.                 if name is None or getattr(mark, "name", None) == name:
305.                     yield node, mark
306. 
307.     @overload
308.     def get_closest_marker(self, name: str) -> Optional[Mark]:
309.         raise NotImplementedError()
310. 
311.     @overload  # noqa: F811
312.     def get_closest_marker(self, name: str, default: Mark) -> Mark:  # noqa: F811
313.         raise NotImplementedError()
314. 
315.     def get_closest_marker(  # noqa: F811
316.         self, name: str, default: Optional[Mark] = None
317.     ) -> Optional[Mark]:
318.         """return the first marker matching the name, from closest (for example function) to farther level (for example
319.         module level).
320. 
321.         :param default: fallback return value of no marker was found
322.         :param name: name to filter by
323.         """
324.         return next(self.iter_markers(name=name), default)
325. 
326.     def listextrakeywords(self) -> Set[str]:
327.         """ Return a set of all extra keywords in self and any parents."""
328.         extra_keywords = set()  # type: Set[str]
329.         for item in self.listchain():
330.             extra_keywords.update(item.extra_keyword_matches)
331.         return extra_keywords
332. 
333.     def listnames(self) -> List[str]:
334.         return [x.name for x in self.listchain()]
335. 
336.     def addfinalizer(self, fin: Callable[[], object]) -> None:
337.         """ register a function to be called when this node is finalized.
338. 
339.         This method can only be called when this node is active
340.         in a setup chain, for example during self.setup().
341.         """
342.         self.session._setupstate.addfinalizer(fin, self)
343. 
344.     def getparent(self, cls: "Type[_NodeType]") -> Optional[_NodeType]:
345.         """ get the next parent node (including ourself)
346.         which is an instance of the given class"""
347.         current = self  # type: Optional[Node]
348.         while current and not isinstance(current, cls):
349.             current = current.parent
350.         assert current is None or isinstance(current, cls)
351.         return current
352. 
353.     def _prunetraceback(self, excinfo):
354.         pass
355. 
356.     def _repr_failure_py(
357.         self,
358.         excinfo: ExceptionInfo[BaseException],
359.         style: "Optional[_TracebackStyle]" = None,
360.     ) -> TerminalRepr:
361.         if isinstance(excinfo.value, ConftestImportFailure):
362.             excinfo = ExceptionInfo(excinfo.value.excinfo)
363.         if isinstance(excinfo.value, fail.Exception):
364.             if not excinfo.value.pytrace:
365.                 style = "value"
366.         if isinstance(excinfo.value, FixtureLookupError):
367.             return excinfo.value.formatrepr()
368.         if self.config.getoption("fulltrace", False):
369.             style = "long"
370.         else:
371.             tb = _pytest._code.Traceback([excinfo.traceback[-1]])
372.             self._prunetraceback(excinfo)
373.             if len(excinfo.traceback) == 0:
374.                 excinfo.traceback = tb
375.             if style == "auto":
376.                 style = "long"
377.         # XXX should excinfo.getrepr record all data and toterminal() process it?
378.         if style is None:
379.             if self.config.getoption("tbstyle", "auto") == "short":
380.                 style = "short"
381.             else:
382.                 style = "long"
383. 
384.         if self.config.getoption("verbose", 0) > 1:
385.             truncate_locals = False
386.         else:
387.             truncate_locals = True
388. 
389.         # excinfo.getrepr() formats paths relative to the CWD if `abspath` is False.
390.         # It is possible for a fixture/test to change the CWD while this code runs, which
391.         # would then result in the user seeing confusing paths in the failure message.
392.         # To fix this, if the CWD changed, always display the full absolute path.
393.         # It will be better to just always display paths relative to invocation_dir, but
394.         # this requires a lot of plumbing (#6428).
395.         try:
396.             abspath = Path(os.getcwd()) != Path(str(self.config.invocation_dir))
397.         except OSError:
398.             abspath = True
399. 
400.         return excinfo.getrepr(
401.             funcargs=True,
402.             abspath=abspath,
403.             showlocals=self.config.getoption("showlocals", False),
404.             style=style,
405.             tbfilter=False,  # pruned already, or in --fulltrace mode.
406.             truncate_locals=truncate_locals,
407.         )
408. 
409.     def repr_failure(
410.         self,
411.         excinfo: ExceptionInfo[BaseException],
412.         style: "Optional[_TracebackStyle]" = None,
413.     ) -> Union[str, TerminalRepr]:
414.         """
415.         Return a representation of a collection or test failure.
416. 
417.         :param excinfo: Exception information for the failure.
418.         """
419.         return self._repr_failure_py(excinfo, style)
420. 
421. 
422. def get_fslocation_from_item(
423.     node: "Node",
424. ) -> Tuple[Union[str, py.path.local], Optional[int]]:
425.     """Tries to extract the actual location from a node, depending on available attributes:
426. 
427.     * "location": a pair (path, lineno)
428.     * "obj": a Python object that the node wraps.
429.     * "fspath": just a path
430. 
431.     :rtype: a tuple of (str|LocalPath, int) with filename and line number.
432.     """
433.     # See Item.location.
434.     location = getattr(
435.         node, "location", None
436.     )  # type: Optional[Tuple[str, Optional[int], str]]
437.     if location is not None:
438.         return location[:2]
439.     obj = getattr(node, "obj", None)
440.     if obj is not None:
441.         return getfslineno(obj)
442.     return getattr(node, "fspath", "unknown location"), -1
443. 
444. 
445. class Collector(Node):
446.     """ Collector instances create children through collect()
447.         and thus iteratively build a tree.
448.     """
449. 
450.     class CollectError(Exception):
451.         """ an error during collection, contains a custom message. """
452. 
453.     def collect(self) -> Iterable[Union["Item", "Collector"]]:
454.         """ returns a list of children (items and collectors)
455.             for this collection node.
456.         """
457.         raise NotImplementedError("abstract")
458. 
459.     # TODO: This omits the style= parameter which breaks Liskov Substitution.
460.     def repr_failure(  # type: ignore[override]
461.         self, excinfo: ExceptionInfo[BaseException]
462.     ) -> Union[str, TerminalRepr]:
463.         """
464.         Return a representation of a collection failure.
465. 
466.         :param excinfo: Exception information for the failure.
467.         """
468.         if isinstance(excinfo.value, self.CollectError) and not self.config.getoption(
469.             "fulltrace", False
470.         ):
471.             exc = excinfo.value
472.             return str(exc.args[0])
473. 
474.         # Respect explicit tbstyle option, but default to "short"
475.         # (_repr_failure_py uses "long" with "fulltrace" option always).
476.         tbstyle = self.config.getoption("tbstyle", "auto")
477.         if tbstyle == "auto":
478.             tbstyle = "short"
479. 
480.         return self._repr_failure_py(excinfo, style=tbstyle)
481. 
482.     def _prunetraceback(self, excinfo):
483.         if hasattr(self, "fspath"):
484.             traceback = excinfo.traceback
485.             ntraceback = traceback.cut(path=self.fspath)
486.             if ntraceback == traceback:
487.                 ntraceback = ntraceback.cut(excludepath=tracebackcutdir)
488.             excinfo.traceback = ntraceback.filter()
489. 
490. 
491. def _check_initialpaths_for_relpath(session, fspath):
492.     for initial_path in session._initialpaths:
493.         if fspath.common(initial_path) == initial_path:
494.             return fspath.relto(initial_path)
495. 
496. 
497. class FSHookProxy:
498.     def __init__(self, pm: PytestPluginManager, remove_mods) -> None:
499.         self.pm = pm
500.         self.remove_mods = remove_mods


File: src/_pytest/nodes.py
Line number range: 501 - 1000
Content:
501. 
502.     def __getattr__(self, name: str):
503.         x = self.pm.subset_hook_caller(name, remove_plugins=self.remove_mods)
504.         self.__dict__[name] = x
505.         return x
506. 
507. 
508. class FSCollector(Collector):
509.     def __init__(
510.         self,
511.         fspath: py.path.local,
512.         parent=None,
513.         config: Optional[Config] = None,
514.         session: Optional["Session"] = None,
515.         nodeid: Optional[str] = None,
516.     ) -> None:
517.         name = fspath.basename
518.         if parent is not None:
519.             rel = fspath.relto(parent.fspath)
520.             if rel:
521.                 name = rel
522.             name = name.replace(os.sep, SEP)
523.         self.fspath = fspath
524. 
525.         session = session or parent.session
526. 
527.         if nodeid is None:
528.             nodeid = self.fspath.relto(session.config.rootdir)
529. 
530.             if not nodeid:
531.                 nodeid = _check_initialpaths_for_relpath(session, fspath)
532.             if nodeid and os.sep != SEP:
533.                 nodeid = nodeid.replace(os.sep, SEP)
534. 
535.         super().__init__(name, parent, config, session, nodeid=nodeid, fspath=fspath)
536. 
537.         self._norecursepatterns = self.config.getini("norecursedirs")
538. 
539.     @classmethod
540.     def from_parent(cls, parent, *, fspath, **kw):
541.         """
542.         The public constructor
543.         """
544.         return super().from_parent(parent=parent, fspath=fspath, **kw)
545. 
546.     def _gethookproxy(self, fspath: py.path.local):
547.         # check if we have the common case of running
548.         # hooks with all conftest.py files
549.         pm = self.config.pluginmanager
550.         my_conftestmodules = pm._getconftestmodules(
551.             fspath, self.config.getoption("importmode")
552.         )
553.         remove_mods = pm._conftest_plugins.difference(my_conftestmodules)
554.         if remove_mods:
555.             # one or more conftests are not in use at this fspath
556.             proxy = FSHookProxy(pm, remove_mods)
557.         else:
558.             # all plugins are active for this fspath
559.             proxy = self.config.hook
560.         return proxy
561. 
562.     def gethookproxy(self, fspath: py.path.local):
563.         raise NotImplementedError()
564. 
565.     def _recurse(self, dirpath: py.path.local) -> bool:
566.         if dirpath.basename == "__pycache__":
567.             return False
568.         ihook = self._gethookproxy(dirpath.dirpath())
569.         if ihook.pytest_ignore_collect(path=dirpath, config=self.config):
570.             return False
571.         for pat in self._norecursepatterns:
572.             if dirpath.check(fnmatch=pat):
573.                 return False
574.         ihook = self._gethookproxy(dirpath)
575.         ihook.pytest_collect_directory(path=dirpath, parent=self)
576.         return True
577. 
578.     def isinitpath(self, path: py.path.local) -> bool:
579.         raise NotImplementedError()
580. 
581.     def _collectfile(
582.         self, path: py.path.local, handle_dupes: bool = True
583.     ) -> Sequence[Collector]:
584.         assert (
585.             path.isfile()
586.         ), "{!r} is not a file (isdir={!r}, exists={!r}, islink={!r})".format(
